INFO  - 2014-11-08 17:11:31.095; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-11-08 17:11:31.118; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Development\solr-4.10.2\example\contexts at interval 0
INFO  - 2014-11-08 17:11:31.150; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Development\solr-4.10.2\example\contexts\solr-jetty-context.xml
INFO  - 2014-11-08 17:11:31.209; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Development/solr-4.10.2/example/webapps/solr.war!/ to C:\Development\solr-4.10.2\example\solr-webapp\webapp
INFO  - 2014-11-08 17:11:33.267; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-11-08 17:11:33.402; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-11-08 17:11:33.480; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-11-08 17:11:33.481; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-11-08 17:11:33.483; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-11-08 17:11:33.849; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Development\solr-4.10.2\example\solr\solr.xml
INFO  - 2014-11-08 17:11:34.849; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Development\solr-4.10.2\example\solr
INFO  - 2014-11-08 17:11:34.885; org.apache.solr.core.CoreContainer; New CoreContainer 379645464
INFO  - 2014-11-08 17:11:34.886; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-11-08 17:11:34.932; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-11-08 17:11:34.933; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-11-08 17:11:34.939; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-11-08 17:11:34.943; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-11-08 17:11:34.944; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-11-08 17:11:34.945; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-11-08 17:11:34.946; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-11-08 17:11:34.947; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-11-08 17:11:34.947; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-11-08 17:11:35.897; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-11-08 17:11:35.900; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-11-08 17:11:35.900; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-11-08 17:11:35.901; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-11-08 17:11:35.958; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Development\solr-4.10.2\example\solr
INFO  - 2014-11-08 17:11:35.985; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Development\solr-4.10.2\example\solr\collection1\
INFO  - 2014-11-08 17:11:35.986; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-11-08 17:11:35.989; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Development\solr-4.10.2\example\solr\collection1\'
INFO  - 2014-11-08 17:11:36.188; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-11-08 17:11:36.190; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.191; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.191; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-11-08 17:11:36.192; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-11-08 17:11:36.193; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-11-08 17:11:36.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.201; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
